RECENT PRICE ,RECENT CHANGE ,P/E Ratio,Dividend Yield
188.61,1.44,18.88,1.1
256.45,3.08,24.88,3.03
167.54,0.14,27.81,0.53
184.21,-1.77,0,0
235.94,3.78,20.05,1.88
53.58,1.75,19.18,2.83
173.5,1.67,21.29,3.28
344.1,8.15,6.67,2.33
315.42,7.62,20.33,2.41
197.29,0.09,24.91,1.99
139.3,10.15,21.46,4.71
48.36,0.43,9.95,3.02
183.41,0.33,24.74,2.46
66.17,1.1,29.42,2.66
132.58,1.46,9.83,3.02
256.37,0.97,25.55,2.15
151.5,1.4,14.98,3.93
86.38,0.59,17.77,3.19
287.64,2.34,30.57,0.86
136.71,-0.34,36.07,0.89
163.68,4.27,28.94,2.23
176.8,0.64,11.2,2.1
547.79,10.09,29.99,1.06
187.4,-3.99,124.67,0
54.4,0.65,10.23,4.71
218.8,3.1,40.82,0.69
46.58,0.98,6.8,4.11
160.21,2.56,32.83,1.4
125.87,-6.03,72.96,0
67.74,0.69,8.07,4.14
